entry_time,entry_price,exit_time,exit_price,profit_pts,win,spikes_caught,pnl_usd,equity
1772961180,2896.228,1772965020,2884.749,11.479,True,2,10.0,3000.0
1772966580,2889.145,1772970420,2896.162,-7.017,False,0,-3.0,2997.0
1772985180,2894.371,1772989020,2898.121,-3.75,True,1,10.0,3007.0
1773011940,2919.837,1773015780,2924.241,-4.404,True,1,10.0,3017.0
1773017580,2923.835,1773021420,2924.37,-0.535,True,2,10.0,3027.0
1773021540,2924.778,1773025380,2931.591,-6.813,True,1,10.0,3037.0
1773032340,2927.454,1773036180,2934.675,-7.221,True,1,10.0,3047.0
1773055920,2940.666,1773059760,2949.104,-8.438,False,0,-3.0,3044.0
1773065280,2932.35,1773069120,2925.415,6.935,True,2,10.0,3054.0
1773069420,2926.781,1773073260,2934.9,-8.119,True,1,10.0,3064.0
1773073380,2935.226,1773077220,2947.568,-12.342,True,1,10.0,3074.0
1773084960,2932.365,1773088800,2941.984,-9.619,True,1,10.0,3084.0
1773096960,2943.733,1773100800,2940.725,3.008,True,2,10.0,3094.0
1773102120,2944.952,1773105960,2944.64,0.312,True,1,10.0,3104.0
1773109020,2937.869,1773112860,2938.503,-0.634,True,2,10.0,3114.0
1773113520,2940.33,1773117360,2941.328,-0.998,True,2,10.0,3124.0
1773119760,2938.675,1773123600,2933.36,5.315,True,1,10.0,3134.0
1773123720,2933.725,1773127560,2924.69,9.035,True,3,10.0,3144.0
1773128700,2927.141,1773132540,2920.091,7.05,True,4,10.0,3154.0
1773132660,2920.424,1773136500,2918.387,2.037,True,3,10.0,3164.0
1773136620,2918.697,1773140460,2921.47,-2.773,True,1,10.0,3174.0
1773140580,2921.827,1773144420,2926.923,-5.096,True,2,10.0,3184.0
1773154380,2931.006,1773158220,2939.698,-8.692,True,2,10.0,3194.0
1773162900,2921.664,1773166740,2912.564,9.1,True,3,10.0,3204.0
1773167220,2914.991,1773171060,2918.701,-3.71,True,2,10.0,3214.0
1773172560,2915.005,1773176400,2916.005,-1.0,True,2,10.0,3224.0
1773177000,2919.125,1773180840,2924.685,-5.56,True,1,10.0,3234.0
1773188820,2925.639,1773192660,2935.903,-10.264,True,1,10.0,3244.0
1773226680,2982.34,1773230520,2973.266,9.074,True,3,10.0,3254.0
1773232620,2971.669,1773236460,2980.836,-9.167,True,2,10.0,3264.0
1773238140,2980.327,1773241980,2973.796,6.531,True,2,10.0,3274.0
1773243420,2974.997,1773247260,2986.099,-11.102,False,0,-3.0,3271.0
1773259860,2987.873,1773263700,2983.139,4.734,True,2,10.0,3281.0
1773264660,2988.528,1773268500,2987.285,1.243,True,3,10.0,3291.0
1773268620,2987.632,1773272460,2997.723,-10.091,False,0,-3.0,3288.0
1773281580,2973.795,1773285420,2975.916,-2.121,True,2,10.0,3298.0
1773286080,2979.475,1773289920,2974.553,4.922,True,3,10.0,3308.0
1773292320,2971.306,1773296160,2976.952,-5.646,True,2,10.0,3318.0
1773296460,2978.382,1773300300,2982.744,-4.362,True,1,10.0,3328.0
1773307560,2979.675,1773311400,2966.473,13.202,True,4,10.0,3338.0
1773314460,2966.946,1773318300,2981.233,-14.287,False,0,-3.0,3335.0
1773321120,2977.068,1773324960,2986.174,-9.106,True,1,10.0,3345.0
1773333300,2974.699,1773337140,2959.563,15.136,True,5,10.0,3355.0
1773340920,2959.673,1773344760,2972.088,-12.415,False,0,-3.0,3352.0
1773357300,2971.913,1773361140,2973.129,-1.216,True,2,10.0,3362.0
1773361680,2975.9,1773365520,2977.876,-1.976,True,2,10.0,3372.0
1773368520,2971.393,1773372360,2981.893,-10.5,False,0,-3.0,3369.0
1773386100,2994.014,1773389940,2987.552,6.462,True,2,10.0,3379.0
1773392220,2989.164,1773396060,2985.332,3.832,True,2,10.0,3389.0
1773396360,2986.816,1773400200,3001.693,-14.877,True,1,10.0,3399.0
1773410340,3003.786,1773414180,3006.96,-3.174,True,1,10.0,3409.0
1773430620,3017.538,1773434460,3016.002,1.536,True,2,10.0,3419.0
1773434580,3016.34,1773438420,3023.96,-7.62,True,1,10.0,3429.0
1773447960,3007.133,1773451800,3012.627,-5.494,False,0,-3.0,3426.0
1773451920,3013.019,1773455760,3025.69,-12.671,True,1,10.0,3436.0
1773469560,3028.352,1773473400,3027.753,0.599,True,1,10.0,3446.0
1773499380,3057.718,1773503220,3049.136,8.582,True,2,10.0,3456.0
1773503340,3049.488,1773507180,3059.144,-9.656,False,0,-3.0,3453.0
1773527340,3085.362,1773531180,3077.42,7.942,True,4,10.0,3463.0
1773531660,3078.655,1773535500,3056.209,22.446,True,6,10.0,3473.0
1773537360,3059.301,1773541200,3045.923,13.378,True,4,10.0,3483.0
1773541500,3047.288,1773545340,3053.314,-6.026,True,1,10.0,3493.0
1773545460,3053.722,1773549300,3043.867,9.855,True,4,10.0,3503.0
1773551160,3043.819,1773555000,3027.485,16.334,True,4,10.0,3513.0
1773555120,3027.889,1773558960,3041.985,-14.096,False,0,-3.0,3510.0
1773559080,3042.347,1773562920,3053.368,-11.021,True,1,10.0,3520.0
1773577620,3050.602,1773581460,3039.7,10.902,True,5,10.0,3530.0
1773581580,3040.105,1773585420,3042.263,-2.158,True,3,10.0,3540.0
1773585540,3042.618,1773589380,3039.324,3.294,True,2,10.0,3550.0
1773591180,3044.435,1773595020,3049.437,-5.002,True,1,10.0,3560.0
1773598980,3043.396,1773602820,3046.436,-3.04,True,2,10.0,3570.0
1773605700,3044.815,1773609540,3058.023,-13.208,False,0,-3.0,3567.0
1773620580,3054.448,1773624420,3050.082,4.366,True,2,10.0,3577.0
1773625140,3053.932,1773628980,3050.981,2.951,True,3,10.0,3587.0
1773629220,3052.124,1773633060,3068.774,-16.65,True,1,10.0,3597.0
1773653700,3048.436,1773657540,3040.885,7.551,True,1,10.0,3607.0
1773658140,3044.158,1773661980,3038.77,5.388,True,2,10.0,3617.0
1773662700,3042.646,1773666540,3043.092,-0.446,True,3,10.0,3627.0
1773667920,3045.107,1773671760,3052.772,-7.665,True,1,10.0,3637.0
1773675000,3044.877,1773678840,3052.223,-7.346,True,3,10.0,3647.0
1773680520,3047.408,1773684360,3058.455,-11.047,True,1,10.0,3657.0
1773687840,3049.817,1773691680,3051.966,-2.149,True,2,10.0,3667.0
1773694980,3046.679,1773698820,3049.698,-3.019,True,2,10.0,3677.0
1773703260,3040.845,1773707100,3031.497,9.348,True,4,10.0,3687.0
1773708180,3036.266,1773712020,3043.629,-7.363,True,2,10.0,3697.0
1773719640,3035.213,1773723480,3047.422,-12.209,False,0,-3.0,3694.0
1773734520,3046.67,1773738360,3031.766,14.904,True,3,10.0,3704.0
1773739320,3032.906,1773743160,3035.02,-2.114,True,1,10.0,3714.0
1773745380,3036.399,1773749220,3039.26,-2.861,True,2,10.0,3724.0
1773749340,3039.658,1773753180,3057.933,-18.275,True,1,10.0,3734.0
1773791220,3082.928,1773795060,3078.186,4.742,True,1,10.0,3744.0
1773795180,3077.104,1773799020,3085.006,-7.902,True,1,10.0,3754.0
1773801480,3083.972,1773805320,3073.167,10.805,True,4,10.0,3764.0
1773807960,3071.169,1773811800,3084.441,-13.272,True,1,10.0,3774.0
1773815220,3081.313,1773819060,3081.145,0.168,True,3,10.0,3784.0
1773821400,3078.171,1773825240,3081.337,-3.166,True,1,10.0,3794.0
1773831240,3079.434,1773835080,3062.905,16.529,True,4,10.0,3804.0
1773835560,3065.492,1773839400,3050.728,14.764,True,2,10.0,3814.0
1773839760,3052.599,1773843600,3057.271,-4.672,False,0,-3.0,3811.0
1773843720,3057.638,1773847560,3067.825,-10.187,False,0,-3.0,3808.0
1773850920,3062.241,1773854760,3074.997,-12.756,True,1,10.0,3818.0
1773859140,3065.783,1773862980,3073.318,-7.535,True,2,10.0,3828.0
1773868320,3049.178,1773872160,3047.311,1.867,True,2,10.0,3838.0
1773872520,3049.17,1773876360,3050.904,-1.734,True,2,10.0,3848.0
1773876480,3051.27,1773880320,3056.293,-5.023,True,3,10.0,3858.0
1773884400,3040.546,1773888240,3046.174,-5.628,True,2,10.0,3868.0
1773888360,3046.521,1773892200,3062.338,-15.817,False,0,-3.0,3865.0
1773899160,3032.278,1773903000,3033.635,-1.357,True,3,10.0,3875.0
1773903120,3033.999,1773906960,3021.958,12.041,True,3,10.0,3885.0
1773907680,3024.288,1773911520,3017.398,6.89,True,3,10.0,3895.0
1773911700,3018.202,1773915540,3010.318,7.884,True,2,10.0,3905.0
1773917640,3007.25,1773921480,3007.826,-0.576,True,2,10.0,3915.0
1773922320,3009.315,1773926160,2995.272,14.043,True,3,10.0,3925.0
1773927900,2997.523,1773931740,2982.76,14.763,True,4,10.0,3935.0
1773936360,2971.129,1773940200,2964.793,6.336,True,3,10.0,3945.0
1773940380,2965.506,1773944220,2965.994,-0.488,True,1,10.0,3955.0
1773944460,2967.079,1773948300,2976.485,-9.406,True,1,10.0,3965.0
1773956580,2954.632,1773960420,2942.243,12.389,True,5,10.0,3975.0
1773961980,2944.9,1773965820,2953.037,-8.137,True,1,10.0,3985.0
1773965940,2953.375,1773969780,2958.621,-5.246,True,1,10.0,3995.0
1773974460,2959.035,1773978300,2964.017,-4.982,True,2,10.0,4005.0
1773990420,2959.848,1773994260,2964.217,-4.369,True,1,10.0,4015.0
1773997080,2962.096,1774000920,2959.011,3.085,True,2,10.0,4025.0
1774001640,2962.263,1774005480,2967.048,-4.785,True,1,10.0,4035.0
1774009800,2958.144,1774013640,2940.76,17.384,True,4,10.0,4045.0
1774015560,2942.92,1774019400,2945.813,-2.893,True,2,10.0,4055.0
1774019940,2948.706,1774023780,2963.948,-15.242,False,0,-3.0,4052.0
1774034700,2959.054,1774038540,2959.887,-0.833,True,3,10.0,4062.0
